Id,PostType,CreationDate,Score,ViewCount,Tags,AnswerCount,FavoriteCount
"61991","Question","2019-10-20 13:33:13","0","115","<regression><feature-engineering><prediction>","1",""
"61993","Question","2019-10-20 14:16:06","1","392","<machine-learning><statistics><variance>","2",""
"61998","Question","2019-10-20 16:03:31","0","37","<deep-learning><keras><tensorflow><lstm>","1",""
"61999","Answer","2019-10-20 17:24:30","0","","","",""
"62000","Question","2019-10-20 17:49:44","1","110","<python><keras><tensorflow><lstm><rnn>","1",""
"62002","Question","2019-10-20 17:51:26","2","157","<python><scikit-learn><feature-extraction>","1",""
"62004","Answer","2019-10-20 18:11:32","0","","","",""
"62005","Question","2019-10-20 18:58:18","1","1140","<nlp><word-embeddings><stanford-nlp>","1",""
"62006","Question","2019-10-20 20:17:20","1","90","<machine-learning><python>","1",""
"62007","Answer","2019-10-20 22:40:19","0","","","",""
"62009","Question","2019-10-21 02:05:49","2","196","<neural-network><deep-learning>","0",""
"62010","Answer","2019-10-21 02:05:52","2","","","",""
"62012","Question","2019-10-21 06:33:19","1","147","<classification><learning>","0",""
"62014","Question","2019-10-21 07:28:24","0","22","<machine-learning><neural-network><deep-learning><classification>","0",""
"62016","Question","2019-10-21 08:17:44","0","56","<nlp><corpus><wikipedia>","0",""
"62017","Answer","2019-10-21 08:22:51","0","","","",""
"62024","Answer","2019-10-21 11:05:51","0","","","",""
"62026","Question","2019-10-21 12:43:31","1","81","<machine-learning><statistics><cross-validation>","2",""
"62028","Answer","2019-10-21 12:56:59","0","","","",""
"62030","Answer","2019-10-21 13:03:48","1","","","",""
"62031","Question","2019-10-21 13:06:32","0","1780","<statistics><random-forest><matrix>","1",""
"62032","Answer","2019-10-21 13:20:34","2","","","",""
"62033","Question","2019-10-21 14:04:25","1","85","<machine-learning><neural-network><classification><nlp>","1",""
"62035","Question","2019-10-21 14:33:17","2","149","<lstm><reinforcement-learning>","1",""
"62036","Question","2019-10-21 15:02:28","0","1163","<python><time-series>","2",""
"62037","Question","2019-10-21 15:38:14","1","72","<deep-learning><nlp><machine-translation><bert><neural-style-transfer>","0",""
"62038","Question","2019-10-21 15:51:20","0","36","<logistic-regression><missing-data>","0",""
"62039","Question","2019-10-21 16:03:58","1","13","<nlp><data-cleaning><twitter>","0",""
"62041","Question","2019-10-21 16:29:21","3","96","<training><data-science-model><annotation>","1","2"
"62044","Answer","2019-10-21 16:52:55","2","","","",""
"62045","Answer","2019-10-21 16:54:15","1","","","",""
"62046","Question","2019-10-21 16:54:20","2","51","<text-mining><lda>","0","0"
"62047","Question","2019-10-21 17:25:46","2","48","<classification><class-imbalance>","2",""
"62048","Answer","2019-10-21 17:28:22","1","","","",""
"62050","Answer","2019-10-21 17:43:40","0","","","",""
"62052","Answer","2019-10-21 18:08:14","0","","","",""
"62055","Answer","2019-10-21 20:46:11","1","","","",""
"62056","Answer","2019-10-21 21:11:00","3","","","",""
"62057","Question","2019-10-21 21:30:43","1","79","<statistics><ab-test>","3","2"
"62058","Question","2019-10-21 21:46:14","1","56","<nlp><dataset><stanford-nlp>","1","1"
"62060","Answer","2019-10-22 00:51:42","3","","","",""
"62061","Answer","2019-10-22 02:33:40","0","","","",""
"62062","Question","2019-10-22 04:12:55","1","15","<predictive-modeling><cnn><machine-learning-model>","0",""
"62063","Question","2019-10-22 04:59:52","1","52","<r><clustering>","1",""
"62064","Answer","2019-10-22 06:39:40","0","","","",""
"62066","Question","2019-10-22 08:18:37","1","19","<classification><multilabel-classification><weight-initialization>","1",""
"62067","Question","2019-10-22 08:41:44","1","796","<python><keras><object-detection><jupyter><pickle>","2",""
"62070","Answer","2019-10-22 10:43:53","1","","","",""
"62071","Question","2019-10-22 11:23:36","2","17","<machine-learning><scikit-learn><time-series><unsupervised-learning><anomaly-detection>","0","1"
"62073","Answer","2019-10-22 11:26:48","1","","","",""
"62075","Answer","2019-10-22 13:06:51","1","","","",""
"62077","Answer","2019-10-22 13:28:02","0","","","",""
"62078","Answer","2019-10-22 13:42:39","0","","","",""
"62079","Answer","2019-10-22 13:56:05","1","","","",""
"62080","Question","2019-10-22 14:10:27","0","101","<geospatial>","1",""
"62081","Answer","2019-10-22 14:21:18","1","","","",""
"62082","Answer","2019-10-22 14:25:44","0","","","",""
"62083","Answer","2019-10-22 14:32:29","0","","","",""
"62085","Answer","2019-10-22 14:59:18","1","","","",""
"62086","Question","2019-10-22 15:35:49","1","1144","<python><deep-learning><keras><lstm><multilabel-classification>","1",""
"62087","Question","2019-10-22 15:52:25","0","140","<machine-learning><time-series><clustering><unsupervised-learning>","1",""
"62088","Answer","2019-10-22 16:04:47","1","","","",""
"62093","Answer","2019-10-22 17:47:05","0","","","",""
"62096","Question","2019-10-22 19:01:03","1","120","<tensorflow><nlp><word-embeddings>","1",""
"62101","Question","2019-10-22 20:36:42","4","379","<xgboost>","2",""
"62102","Answer","2019-10-22 22:06:54","0","","","",""
"62103","Question","2019-10-22 23:52:38","5","139","<pca>","1","1"
"62104","Question","2019-10-23 00:11:37","1","4449","<python>","1",""
"62105","Answer","2019-10-23 01:49:26","2","","","",""
"62106","Answer","2019-10-23 03:23:26","2","","","",""
"62107","Answer","2019-10-23 04:23:19","0","","","",""
"62108","Question","2019-10-23 04:57:51","0","75","<cnn><gensim><cosine-distance><siamese-networks><semantic-similarity>","1",""
"62110","Answer","2019-10-23 05:30:52","1","","","",""
"62112","Question","2019-10-23 06:24:50","1","1112","<machine-learning><nlp><algorithms><k-nn>","1","1"
"62113","Answer","2019-10-23 07:27:02","0","","","",""
"62114","Question","2019-10-23 08:30:43","1","287","<machine-learning><neural-network><deep-learning><cnn>","1",""
"62118","Answer","2019-10-23 09:26:29","0","","","",""
"62119","Answer","2019-10-23 09:31:11","4","","","",""
"62120","Answer","2019-10-23 09:55:07","2","","","",""
"62121","Question","2019-10-23 09:57:45","0","40","<neural-network><classification><pca>","1",""
"62123","Question","2019-10-23 10:48:06","0","38","<deep-learning><classification><keras><predictive-modeling><ensemble-modeling>","1",""
"62126","Question","2019-10-23 12:39:58","1","22","<data-science-model><data-analysis><monte-carlo>","0",""
"62127","Question","2019-10-23 13:44:00","0","85","<time-series><collinearity>","1",""
"62128","Question","2019-10-23 14:20:04","0","1683","<python><plotting><seaborn>","0",""
"62130","Answer","2019-10-23 15:07:58","1","","","",""
"62131","Question","2019-10-23 15:19:29","0","714","<machine-learning><python>","2",""
"62132","Question","2019-10-23 15:46:07","1","908","<machine-learning>","2",""
"62134","Answer","2019-10-23 16:10:30","0","","","",""
"62135","Answer","2019-10-23 16:57:25","1","","","",""
"62136","Question","2019-10-23 16:59:40","1","66","<clustering><pandas><numpy>","0",""
"62139","Answer","2019-10-23 18:40:39","1","","","",""
"62141","Question","2019-10-23 22:34:24","2","547","<machine-learning><reinforcement-learning>","1",""
"49381","Question","2019-04-16 08:33:58","6","895","<machine-learning><clustering><feature-scaling><dummy-variables>","3","1"
"49382","Answer","2019-04-16 08:35:39","7","","","",""
"49384","Answer","2019-04-16 09:01:39","3","","","",""
"49385","Answer","2019-04-16 09:15:57","8","","","",""
"49388","Question","2019-04-16 09:53:48","0","1735","<machine-learning>","1",""
"49390","Answer","2019-04-16 10:48:41","1","","","",""
"49392","Answer","2019-04-16 11:43:54","3","","","",""
"49395","Question","2019-04-16 13:00:49","4","81","<r><sql>","4","2"
"49396","Answer","2019-04-16 13:13:20","6","","","",""
"49397","Answer","2019-04-16 13:18:26","0","","","",""
"49398","Question","2019-04-16 13:20:45","1","180","<python><keras><time-series><lstm><data-science-model>","1","1"
"49399","Question","2019-04-16 13:23:58","2","42","<python><neural-network><classification><keras>","2",""
"49400","Answer","2019-04-16 13:34:36","3","","","",""
"49402","Question","2019-04-16 13:42:57","1","34","<r><statistics><excel>","1",""
"49403","Question","2019-04-16 13:56:07","1","319","<machine-learning><logistic-regression><gradient-descent><supervised-learning><boosting>","2",""
"49405","Question","2019-04-16 14:01:10","2","6554","<keras><yolo>","1",""
"49406","Answer","2019-04-16 14:02:58","0","","","",""
"49407","Answer","2019-04-16 14:14:13","2","","","",""
"49408","Answer","2019-04-16 14:15:43","0","","","",""
"49410","Answer","2019-04-16 14:25:01","3","","","",""
"49411","Answer","2019-04-16 14:25:29","1","","","",""
"49412","Answer","2019-04-16 14:28:08","5","","","",""
"49413","Answer","2019-04-16 15:01:42","1","","","",""
"49414","Answer","2019-04-16 15:28:51","1","","","",""
"49417","Question","2019-04-16 16:57:23","0","230","<python><cross-validation>","1","0"
"49418","Answer","2019-04-16 16:59:02","0","","","",""
"49420","Question","2019-04-16 17:57:21","2","1731","<kernel><matrix><rbf>","1",""
"49421","Answer","2019-04-16 18:02:21","1","","","",""
"49422","Answer","2019-04-16 18:25:34","2","","","",""
"49424","Question","2019-04-16 19:06:40","1","36","<evolutionary-algorithms>","1","1"
"49425","Answer","2019-04-16 20:09:57","1","","","",""
"49428","Question","2019-04-16 21:01:42","0","214","<python><regression><linear-regression>","1","2"
"49429","Answer","2019-04-16 21:08:18","0","","","",""
"49430","Answer","2019-04-16 21:21:24","1","","","",""
"49431","Question","2019-04-16 21:21:29","3","5917","<python><word2vec><gensim>","4","2"
"49432","Question","2019-04-16 21:39:37","0","22","<cnn><data>","1",""
"49433","Answer","2019-04-16 22:16:37","2","","","",""
"49434","Answer","2019-04-16 22:18:29","3","","","",""
"49435","Answer","2019-04-16 22:27:57","1","","","",""
"49436","Question","2019-04-16 23:01:11","0","92","<linear-regression><correlation>","1",""
"49438","Answer","2019-04-16 23:32:48","1","","","",""
"49439","Answer","2019-04-16 23:47:21","1","","","",""
"49440","Question","2019-04-17 01:22:39","1","24","<web-scraping>","0",""
"49442","Question","2019-04-17 02:14:33","0","47","<feature-selection><xgboost>","1",""
"49443","Answer","2019-04-17 02:26:47","0","","","",""
"49444","Answer","2019-04-17 02:27:56","1","","","",""
"49445","Answer","2019-04-17 02:36:16","0","","","",""
"49446","Question","2019-04-17 03:04:54","0","42","<python><keras><tensorflow><gan>","0",""
"49448","Question","2019-04-17 03:37:32","1","234","<machine-learning><deep-learning><keras><dataset><data-cleaning>","1",""
"49450","Question","2019-04-17 04:01:28","0","28","<machine-learning><classification><cnn><image-classification>","1","1"
"49452","Question","2019-04-17 04:09:56","1","45","<machine-learning><feature-selection><xgboost><feature-engineering>","0",""
"49453","Question","2019-04-17 05:24:02","1","191","<machine-learning><data-mining><data>","0",""
"49454","Question","2019-04-17 05:39:27","0","103","<deep-learning><multiclass-classification><mlp><smote><imbalanced-learn>","0",""
"49459","Answer","2019-04-17 07:53:05","2","","","",""
"49460","Question","2019-04-17 07:57:15","1","261","<neural-network><nlp><feature-extraction><bert>","1",""
"49462","Question","2019-04-17 08:39:49","3","343","<python><classification><xgboost><multiclass-classification><class-imbalance>","0","1"
"49466","Question","2019-04-17 10:01:00","1","73","<machine-learning><time-series><pca><forecast><data-analysis>","0","1"
"49467","Answer","2019-04-17 10:29:51","3","","","",""
"49468","Question","2019-04-17 10:39:34","11","9204","<cnn><attention-mechanism>","3","9"
"49470","Question","2019-04-17 10:51:15","1","50","<machine-learning><neural-network><data-mining><text-mining><recommender-system>","0",""
"49472","Answer","2019-04-17 10:57:24","1","","","",""
"49473","Answer","2019-04-17 11:07:59","0","","","",""
"49474","Question","2019-04-17 11:43:51","1","29","<nlp>","0",""
"49476","Answer","2019-04-17 12:44:06","1","","","",""
"49477","Answer","2019-04-17 12:55:29","1","","","",""
"49479","Question","2019-04-17 12:59:06","4","732","<clustering><random-forest><similarity>","2","1"
"49481","Answer","2019-04-17 13:43:29","2","","","",""
"49483","Question","2019-04-17 13:58:05","1","81","<machine-learning><python>","0",""
"49484","Question","2019-04-17 15:29:44","2","552","<python><pandas>","1",""
"49485","Question","2019-04-17 15:37:10","3","181","<keras><tensorflow>","0","1"
"49486","Question","2019-04-17 16:19:36","2","54","<orange><orange3>","0",""
"49487","Question","2019-04-17 16:31:40","1","59","<scikit-learn><mlp><deep-learning>","1",""
"49488","Question","2019-04-17 16:47:56","8","102","<predictive-modeling><feature-selection><feature-engineering>","2","1"
"49491","Question","2019-04-17 17:57:21","4","179","<pandas><dataframe><indexing>","1",""
"49493","Answer","2019-04-17 18:04:23","0","","","",""
"49495","Question","2019-04-17 18:26:43","1","107","<machine-learning><deep-learning><time-series><rnn><mlp>","1",""
"49496","Question","2019-04-17 18:44:39","2","39","<keras><cnn>","0",""
"49497","Answer","2019-04-17 19:43:42","3","","","",""
"49498","Question","2019-04-17 20:49:35","2","415","<python><gpu><kaggle><google><colab>","1","1"
"49499","Question","2019-04-17 23:34:22","3","450","<keras><embeddings>","0",""
"49500","Answer","2019-04-17 23:43:47","0","","","",""
"49501","Answer","2019-04-18 00:46:49","1","","","",""
"49503","Question","2019-04-18 01:51:48","1","302","<logistic-regression>","3",""
"49504","Question","2019-04-18 01:53:34","2","74","<visualization><matplotlib><wolfram-language>","0",""
"49505","Answer","2019-04-18 02:14:18","1","","","",""
"49506","Answer","2019-04-18 02:15:16","1","","","",""
"49508","Answer","2019-04-18 03:33:21","1","","","",""
"49509","Answer","2019-04-18 03:46:50","0","","","",""
"49510","Question","2019-04-18 04:19:47","1","48","<deep-learning>","0",""
"49511","Question","2019-04-18 04:52:08","1","948","<reinforcement-learning>","1","2"
"49513","Question","2019-04-18 05:30:35","1","22","<recommender-system><word-embeddings><ranking>","0","1"
"49514","Answer","2019-04-18 05:50:30","0","","","",""
"49515","Answer","2019-04-18 06:07:14","1","","","",""
"49516","Answer","2019-04-18 06:53:48","-1","","","",""
"49517","Question","2019-04-18 07:03:30","1","24","<deep-learning><keras><nlp>","0",""
"62142","Answer","2019-10-23 22:45:07","4","","","",""
"62143","Question","2019-10-23 23:30:00","4","456","<scikit-learn><recommender-system><information-retrieval><tfidf><similar-documents>","1",""
"62144","Question","2019-10-23 23:40:54","8","2048","<machine-learning><python><data><data-cleaning><anonymization>","2","2"
"62145","Answer","2019-10-24 00:02:54","2","","","",""
"62147","Question","2019-10-24 01:15:45","1","87","<model-selection><gridsearchcv>","1","0"
"62148","Answer","2019-10-24 02:29:27","1","","","",""
"62149","Answer","2019-10-24 03:57:06","2","","","",""
"62150","Answer","2019-10-24 03:57:45","1","","","",""
"62151","Question","2019-10-24 05:21:01","0","43","<decision-trees>","0","1"
"62153","Answer","2019-10-24 07:12:49","5","","","",""
"62160","Question","2019-10-24 11:18:56","1","22","<machine-learning><predictive-modeling><statistics><transfer-learning>","0",""
"62161","Question","2019-10-24 11:51:14","0","118","<machine-learning><nlp><json>","1",""
"62162","Question","2019-10-24 12:01:39","1","919","<python><pandas><data><information-retrieval>","0",""
"62163","Answer","2019-10-24 12:02:36","0","","","",""
"62164","Question","2019-10-24 12:27:09","1","67","<neural-network><keras>","2",""
"62165","Question","2019-10-24 13:23:41","1","46","<data><data-formats>","1",""
"62167","Question","2019-10-24 13:40:44","1","96","<reinforcement-learning>","2",""
"62169","Answer","2019-10-24 15:14:08","2","","","",""
"62171","Question","2019-10-24 16:04:08","1","2066","<scikit-learn><random-forest>","2",""
"62172","Answer","2019-10-24 16:10:34","1","","","",""
"62173","Question","2019-10-24 16:16:26","1","94","<apache-spark><graphs><social-network-analysis>","0",""
"62175","Answer","2019-10-24 16:19:44","1","","","",""
"62177","Answer","2019-10-24 16:49:24","4","","","",""
"62178","Question","2019-10-24 17:30:35","1","2193","<python><dataset><pandas>","1",""
"62179","Answer","2019-10-24 17:38:32","1","","","",""
"62180","Answer","2019-10-24 17:45:42","1","","","",""
"62181","Answer","2019-10-24 17:46:56","0","","","",""
"62182","Question","2019-10-24 17:55:56","1","239","<scikit-learn>","2","0"
"62184","Question","2019-10-24 18:32:09","2","661","<python><time-series><regression><forecasting>","1","1"
"62185","Answer","2019-10-24 18:42:25","0","","","",""
"62186","Answer","2019-10-24 19:03:50","0","","","",""
"62187","Question","2019-10-24 19:36:39","1","21","<categorical-data><web-scraping>","1",""
"62188","Question","2019-10-24 19:54:37","1","1008","<machine-learning><python><statistics><simulation>","1","1"
"62189","Answer","2019-10-24 20:07:26","0","","","",""
"62190","Answer","2019-10-24 21:01:02","3","","","",""
"62191","Answer","2019-10-24 21:17:19","2","","","",""
"62192","Question","2019-10-24 22:45:51","2","743","<dataset><distribution>","1",""
"62193","Answer","2019-10-25 00:01:48","2","","","",""
"62194","Answer","2019-10-25 00:38:58","1","","","",""
"62195","Question","2019-10-25 01:29:10","0","26","<statistics><pytorch><variance><weight-initialization>","1",""
"62196","Answer","2019-10-25 04:20:01","1","","","",""
"62197","Question","2019-10-25 05:10:23","1","82","<machine-learning><perceptron><mathematics>","0",""
"62200","Answer","2019-10-25 06:52:42","5","","","",""
"62201","Question","2019-10-25 08:30:04","1","78","<machine-learning><cnn>","2",""
"62202","Answer","2019-10-25 09:17:11","1","","","",""
"62203","Answer","2019-10-25 09:23:56","0","","","",""
"62206","Question","2019-10-25 10:00:01","0","1430","<scikit-learn><pca>","1",""
"62207","Question","2019-10-25 10:01:40","1","19","<deep-learning><keras><gradient-descent><convolutional-neural-network>","0",""
"62208","Answer","2019-10-25 10:09:00","1","","","",""
"62212","Answer","2019-10-25 10:35:35","0","","","",""
"62213","Question","2019-10-25 10:40:55","0","48","<scikit-learn><svm><normalization>","2",""
"62216","Question","2019-10-25 11:52:01","1","220","<pca><matrix-factorisation>","1",""
"62219","Answer","2019-10-25 13:00:04","0","","","",""
"62220","Answer","2019-10-25 13:51:04","0","","","",""
"62222","Question","2019-10-25 14:57:52","1","24","<machine-learning>","1",""
"62223","Answer","2019-10-25 15:35:21","1","","","",""
"62224","Question","2019-10-25 15:38:21","1","46","<pca>","2","0"
"62225","Question","2019-10-25 16:09:12","2","306","<python><deep-learning><nlp><image-preprocessing><opencv>","2",""
"62226","Question","2019-10-25 16:25:02","1","23","<machine-learning>","0",""
"62227","Answer","2019-10-25 16:49:39","1","","","",""
"62231","Question","2019-10-25 17:40:17","1","85","<machine-learning><python><scikit-learn>","1",""
"62234","Question","2019-10-25 18:47:40","1","468","<weka>","1",""
"62236","Answer","2019-10-25 19:17:53","0","","","",""
"62237","Answer","2019-10-25 19:31:53","1","","","",""
"62241","Question","2019-10-26 01:25:01","1","85","<activation-function>","1",""
"62242","Answer","2019-10-26 04:49:51","1","","","",""
"62243","Question","2019-10-26 06:28:42","3","3291","<pytorch><gpu>","1",""
"62244","Question","2019-10-26 08:25:56","-1","3633","<python><pandas><data-cleaning><dataframe>","2",""
"62247","Answer","2019-10-26 10:57:03","3","","","",""
"62248","Answer","2019-10-26 13:48:37","1","","","",""
"62249","Question","2019-10-26 14:28:17","0","274","<r>","1",""
"62250","Answer","2019-10-26 14:29:12","0","","","",""
"62251","Question","2019-10-26 14:41:08","0","50","<classification><svm><naive-bayes-classifier><genetic-algorithms>","1",""
"62252","Question","2019-10-26 14:46:07","1","118","<python><scikit-learn><linear-regression>","2",""
"62253","Answer","2019-10-26 14:47:11","1","","","",""
"62254","Answer","2019-10-26 15:02:59","0","","","",""
"62255","Question","2019-10-26 16:35:22","0","28","<machine-learning><training><algorithms>","2",""
"62256","Answer","2019-10-26 16:41:56","1","","","",""
"62257","Question","2019-10-26 16:57:22","2","33","<neural-network><deep-learning><time-series><regression><graphs>","1",""
"62258","Answer","2019-10-26 17:02:29","1","","","",""
"62259","Answer","2019-10-26 17:52:43","1","","","",""
"62260","Answer","2019-10-26 18:47:11","0","","","",""
"62261","Answer","2019-10-26 18:58:28","2","","","",""
"62262","Question","2019-10-26 19:31:48","1","52","<multiclass-classification><multilabel-classification><softmax>","0",""
"62263","Answer","2019-10-26 20:37:27","1","","","",""
"62264","Question","2019-10-26 22:06:50","3","170","<machine-learning><python><keras><convolutional-neural-network><vgg16>","2","4"
"62265","Answer","2019-10-26 22:58:22","7","","","",""
"62267","Question","2019-10-27 01:17:52","2","514","<tensorflow><machine-learning-model><overfitting><gpu>","3","2"
"62268","Answer","2019-10-27 03:09:27","1","","","",""
"62269","Question","2019-10-27 05:55:21","1","16","<machine-learning><statistics><data-science-model>","1",""
"62271","Question","2019-10-27 06:14:44","1","15","<classification>","0",""
"62272","Question","2019-10-27 06:34:20","-2","34","<machine-learning>","1",""
"62273","Answer","2019-10-27 07:15:29","2","","","",""
"62274","Answer","2019-10-27 08:26:02","1","","","",""
"62275","Answer","2019-10-27 08:46:47","1","","","",""
"62276","Answer","2019-10-27 09:15:03","1","","","",""
"62277","Question","2019-10-27 12:00:23","2","20","<deep-learning><cnn><vgg16>","1","1"
"62278","Answer","2019-10-27 12:03:25","1","","","",""
"62279","Answer","2019-10-27 12:19:42","1","","","",""
"62280","Answer","2019-10-27 12:37:57","1","","","",""
"62282","Question","2019-10-27 13:05:46","0","106","<gradient-descent>","1",""
"62283","Answer","2019-10-27 13:23:57","1","","","",""
"62284","Answer","2019-10-27 13:24:55","1","","","",""
"62285","Answer","2019-10-27 14:27:31","3","","","",""
"62286","Answer","2019-10-27 16:41:23","0","","","",""
"62287","Answer","2019-10-27 17:21:30","3","","","",""
"62288","Answer","2019-10-27 17:35:38","0","","","",""
"62291","Question","2019-10-27 20:50:05","0","34","<machine-learning><pandas><feature-selection>","1",""
"62292","Answer","2019-10-27 21:34:50","0","","","",""
"62294","Question","2019-10-27 23:24:52","0","310","<python><scikit-learn><logistic-regression><missing-data><dummy-variables>","2","1"
"62295","Question","2019-10-27 23:26:22","1","32","<data-analysis><descriptive-statistics><self-study>","1",""
"62296","Question","2019-10-27 23:27:14","1","51","<machine-learning><python><logistic-regression>","0",""
"62297","Answer","2019-10-28 00:15:47","1","","","",""
"49518","Question","2019-04-18 07:04:45","2","36","<neural-network>","1",""
"49519","Answer","2019-04-18 07:06:13","0","","","",""
"49520","Answer","2019-04-18 07:14:01","0","","","",""
"49521","Answer","2019-04-18 07:42:59","3","","","",""
"49522","Question","2019-04-18 08:06:24","29","18789","<activation-function><bert><mathematics>","2","17"
"49524","Answer","2019-04-18 08:47:58","2","","","",""
"49526","Question","2019-04-18 09:23:33","2","448","<python><classification><statistics><multiclass-classification><evaluation>","0",""
"49529","Question","2019-04-18 11:05:47","0","13970","<python><pandas><indexing>","1",""
"49530","Question","2019-04-18 11:13:15","1","54","<cnn><image-classification>","0",""
